"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
11;152;2;0;1;0;905;1000;96;4.57471097850338;3;0.3;1;9;27;0.09;0.027;0.9
12;152;1;1;1;0;1;386;386;5.95842469302978;3;0.35;1;9;27;0.1225;0.042875;1.05
12;152;2;1;2;1;388;783;396;5.98393628068719;3;0.35;1;9;27;0.1225;0.042875;1.05
12;152;3;1;3;1;785;803;19;2.99573227355399;3;0.35;1;9;27;0.1225;0.042875;1.05
12;152;4;0;3;1;805;1000;196;5.28320372873799;3;0.35;1;9;27;0.1225;0.042875;1.05
13;152;1;1;1;0;1;215;215;5.37527840768417;4;0.1;1;16;64;0.01;0.001;0.4
13;152;2;0;1;0;217;1000;784;6.66568371778241;4;0.1;1;16;64;0.01;0.001;0.4
14;152;1;0;0;0;1;1000;1000;6.90875477931522;4;0.15;1;16;64;0.0225;0.003375;0.6
15;152;1;1;1;0;1;245;245;5.50533153593236;4;0.2;1;16;64;0.04;0.008;0.8
15;152;2;0;1;0;247;1000;754;6.62671774924902;4;0.2;1;16;64;0.04;0.008;0.8
16;152;1;1;1;0;1;282;282;5.64544689764324;4;0.25;1;16;64;0.0625;0.015625;1
16;152;2;0;1;0;284;1000;717;6.57646956904822;4;0.25;1;16;64;0.0625;0.015625;1
17;152;1;1;1;0;1;649;649;6.47697236288968;4;0.3;1;16;64;0.09;0.027;1.2
17;152;2;0;1;0;651;1000;350;5.86078622346587;4;0.3;1;16;64;0.09;0.027;1.2
18;152;1;1;1;0;1;776;776;6.65544035036765;4;0.35;1;16;64;0.1225;0.042875;1.4
18;152;2;0;1;0;778;1000;223;5.41164605185504;4;0.35;1;16;64;0.1225;0.042875;1.4
19;152;1;1;1;0;1;873;873;6.77308037565554;5;0.1;1;25;125;0.01;0.001;0.5
19;152;2;0;1;0;875;1000;126;4.84418708645859;5;0.1;1;25;125;0.01;0.001;0.5
20;152;1;0;0;0;1;1000;1000;6.90875477931522;5;0.15;1;25;125;0.0225;0.003375;0.75
21;152;1;1;1;0;1;349;349;5.85793315448346;5;0.2;1;25;125;0.04;0.008;1
21;152;2;1;2;1;351;692;342;5.83773044716594;5;0.2;1;25;125;0.04;0.008;1
21;152;3;0;2;1;694;1000;307;5.73009978297357;5;0.2;1;25;125;0.04;0.008;1
22;152;1;0;0;0;1;1000;1000;6.90875477931522;5;0.25;1;25;125;0.0625;0.015625;1.25
23;152;1;1;1;0;1;132;132;4.89034912822175;5;0.3;1;25;125;0.09;0.027;1.5
23;152;2;1;2;1;134;280;147;4.99721227376411;5;0.3;1;25;125;0.09;0.027;1.5
23;152;3;0;2;1;282;1000;719;6.5792512120101;5;0.3;1;25;125;0.09;0.027;1.5
24;152;1;1;1;0;1;968;968;6.87626461189077;5;0.35;1;25;125;0.1225;0.042875;1.75
24;152;2;0;1;0;970;1000;31;3.46573590279973;5;0.35;1;25;125;0.1225;0.042875;1.75
25;152;1;0;0;0;1;127;127;4.85203026391962;6;0.1;1;36;216;0.01;0.001;0.6
25;152;2;0;0;0;133;133;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;3;0;0;0;137;137;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;4;0;0;0;143;151;9;2.30258509299405;6;0.1;1;36;216;0.01;0.001;0.6
25;152;5;0;0;0;153;167;15;2.77258872223978;6;0.1;1;36;216;0.01;0.001;0.6
25;152;6;0;0;0;169;175;7;2.07944154167984;6;0.1;1;36;216;0.01;0.001;0.6
25;152;7;0;0;0;177;195;19;2.99573227355399;6;0.1;1;36;216;0.01;0.001;0.6
25;152;8;0;0;0;199;199;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;9;0;0;0;201;349;149;5.01063529409626;6;0.1;1;36;216;0.01;0.001;0.6
25;152;10;0;0;0;383;411;29;3.40119738166216;6;0.1;1;36;216;0.01;0.001;0.6
25;152;11;0;0;0;413;733;321;5.77455154554441;6;0.1;1;36;216;0.01;0.001;0.6
25;152;12;0;0;0;737;751;15;2.77258872223978;6;0.1;1;36;216;0.01;0.001;0.6
25;152;13;0;0;0;757;775;19;2.99573227355399;6;0.1;1;36;216;0.01;0.001;0.6
25;152;14;0;0;0;777;789;13;2.63905732961526;6;0.1;1;36;216;0.01;0.001;0.6
25;152;15;0;0;0;791;791;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;16;0;0;0;795;797;3;1.38629436111989;6;0.1;1;36;216;0.01;0.001;0.6
25;152;17;0;0;0;801;801;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;18;0;0;0;817;825;9;2.30258509299405;6;0.1;1;36;216;0.01;0.001;0.6
25;152;19;0;0;0;833;835;3;1.38629436111989;6;0.1;1;36;216;0.01;0.001;0.6
