"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
17;1;1;818;818;1;69;69;2;0.1;0;0;1;1
17;1;1;818;818;1;69;69;2;0.1;0.5;0;1;0.5
17;1;1;818;818;1;69;69;2;0.1;1;0;1;0
17;1;820;1000;181;69;84;16;2;0.1;0;0;0;1
17;1;820;1000;181;69;84;16;2;0.1;0.5;0;0;0.5
17;1;820;1000;181;69;84;16;2;0.1;1;0;0;0
18;1;1;348;348;1;29;29;2;0.1;0;0;1;1
18;1;1;348;348;1;29;29;2;0.1;0.5;0;1;0.5
18;1;1;348;348;1;29;29;2;0.1;1;0;1;0
18;1;350;1000;651;30;84;55;2;0.1;0;0;0;1
18;1;350;1000;651;30;84;55;2;0.1;0.5;0;0;0.5
18;1;350;1000;651;30;84;55;2;0.1;1;0;0;0
19;1;1;142;142;1;12;12;2;0.1;0;0;1;1
19;1;1;142;142;1;12;12;2;0.1;0.5;0;1;0.5
19;1;1;142;142;1;12;12;2;0.1;1;0;1;0
19;1;144;1000;857;12;84;73;2;0.1;0;0;0;1
19;1;144;1000;857;12;84;73;2;0.1;0.5;0;0;0.5
19;1;144;1000;857;12;84;73;2;0.1;1;0;0;0
20;1;1;360;360;1;30;30;2;0.1;0;0;1;1
20;1;1;360;360;1;30;30;2;0.1;0.5;0;1;0.5
20;1;1;360;360;1;30;30;2;0.1;1;0;1;0
20;1;783;1000;218;66;84;19;2;0.1;0;0;0;1
20;1;783;1000;218;66;84;19;2;0.1;0.5;0;0;0.5
20;1;783;1000;218;66;84;19;2;0.1;1;0;0;0
20;2;362;501;140;31;42;12;2;0.1;0;0;1;1
20;2;362;501;140;31;42;12;2;0.1;0.5;0;1;0.5
20;2;362;501;140;31;42;12;2;0.1;1;0;1;0
20;3;503;506;4;42;43;2;2;0.1;0;0;1;1
20;3;503;506;4;42;43;2;2;0.1;0.5;0;1;0.5
20;3;503;506;4;42;43;2;2;0.1;1;0;1;0
20;4;508;615;108;43;52;10;2;0.1;0;0;1;1
20;4;508;615;108;43;52;10;2;0.1;0.5;0;1;0.5
20;4;508;615;108;43;52;10;2;0.1;1;0;1;0
20;5;617;781;165;52;66;15;2;0.1;0;0;1;1
20;5;617;781;165;52;66;15;2;0.1;0.5;0;1;0.5
20;5;617;781;165;52;66;15;2;0.1;1;0;1;0
21;1;1;95;95;1;8;8;2;0.1;0;0;1;1
21;1;1;95;95;1;8;8;2;0.1;0.5;0;1;0.5
21;1;1;95;95;1;8;8;2;0.1;1;0;1;0
21;1;97;1000;904;9;84;76;2;0.1;0;0;0;1
21;1;97;1000;904;9;84;76;2;0.1;0.5;0;0;0.5
21;1;97;1000;904;9;84;76;2;0.1;1;0;0;0
22;1;1;213;213;1;18;18;2;0.1;0;0;1;1
22;1;1;213;213;1;18;18;2;0.1;0.5;0;1;0.5
22;1;1;213;213;1;18;18;2;0.1;1;0;1;0
22;1;270;1000;731;23;84;62;2;0.1;0;0;0;1
22;1;270;1000;731;23;84;62;2;0.1;0.5;0;0;0.5
22;1;270;1000;731;23;84;62;2;0.1;1;0;0;0
