"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
1;3;230;811;582;20;68;49;2;0.15;0.5;0;1
2;1;1;117;117;1;10;10;2;0.15;0.5;0;1
2;2;119;542;424;10;46;37;2;0.15;0.5;0;1
3;1;1;286;286;1;24;24;2;0.15;0.5;0;1
4;1;1;614;614;1;52;52;2;0.15;0.5;0;1
5;1;1;277;277;1;24;24;2;0.15;0.5;0;1
5;2;279;845;567;24;71;48;2;0.15;0.5;0;1
6;1;1;84;84;1;7;7;2;0.15;0.5;0;1
6;2;86;610;525;8;51;44;2;0.15;0.5;0;1
6;3;612;862;251;51;72;22;2;0.15;0.5;0;1
7;1;1;477;477;1;40;40;2;0.15;0.5;0;1
8;1;1;84;84;1;7;7;2;0.15;0.5;0;1
8;2;86;522;437;8;44;37;2;0.15;0.5;0;1
8;3;524;827;304;44;69;26;2;0.15;0.5;0;1
8;4;829;868;40;70;73;4;2;0.15;0.5;0;1
8;5;870;995;126;73;83;11;2;0.15;0.5;0;1
9;1;1;394;394;1;33;33;2;0.15;0.5;0;1
9;2;396;408;13;33;34;2;2;0.15;0.5;0;1
9;3;410;431;22;35;36;2;2;0.15;0.5;0;1
9;4;433;597;165;37;50;14;2;0.15;0.5;0;1
9;5;599;909;311;50;76;27;2;0.15;0.5;0;1
10;1;1;12;12;1;1;1;2;0.15;0.5;0;1
10;2;14;413;400;2;35;34;2;0.15;0.5;0;1
10;3;415;454;40;35;38;4;2;0.15;0.5;0;1
10;4;456;532;77;38;45;8;2;0.15;0.5;0;1
10;5;534;933;400;45;78;34;2;0.15;0.5;0;1
11;1;1;228;228;1;19;19;2;0.15;0.5;0;1
11;2;230;274;45;20;23;4;2;0.15;0.5;0;1
11;3;276;317;42;23;27;5;2;0.15;0.5;0;1
11;4;319;885;567;27;74;48;2;0.15;0.5;0;1
11;5;887;937;51;74;79;6;2;0.15;0.5;0;1
12;1;1;465;465;1;39;39;2;0.15;0.5;0;1
12;2;467;570;104;39;48;10;2;0.15;0.5;0;1
12;3;572;733;162;48;62;15;2;0.15;0.5;0;1
12;4;735;863;129;62;72;11;2;0.15;0.5;0;1
13;1;1;320;320;1;27;27;2;0.15;0.5;0;1
13;2;322;831;510;27;70;44;2;0.15;0.5;0;1
14;1;1;258;258;1;22;22;2;0.15;0.5;0;1
15;1;1;35;35;1;3;3;2;0.15;0.5;0;1
15;2;37;99;63;4;9;6;2;0.15;0.5;0;1
15;3;101;259;159;9;22;14;2;0.15;0.5;0;1
15;4;261;432;172;22;36;15;2;0.15;0.5;0;1
15;5;434;654;221;37;55;19;2;0.15;0.5;0;1
16;1;1;31;31;1;3;3;2;0.15;0.5;0;1
16;2;33;587;555;3;49;47;2;0.15;0.5;0;1
16;3;589;876;288;50;73;24;2;0.15;0.5;0;1
17;1;1;11;11;1;1;1;2;0.15;0.5;0;1
17;2;13;266;254;2;23;22;2;0.15;0.5;0;1
17;3;268;649;382;23;55;33;2;0.15;0.5;0;1
17;4;651;995;345;55;83;29;2;0.15;0.5;0;1
18;1;1;65;65;1;6;6;2;0.15;0.5;0;1
18;2;67;847;781;6;71;66;2;0.15;0.5;0;1
19;1;1;816;816;1;68;68;2;0.15;0.5;0;1
20;1;1;117;117;1;10;10;2;0.15;0.5;0;1
20;2;119;877;759;10;74;65;2;0.15;0.5;0;1
21;1;1;325;325;1;28;28;2;0.15;0.5;0;1
23;1;1;11;11;1;1;1;2;0.15;0.5;0;1
