"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
53;1;1;280;280;1;24;24;2;0.1;1;1;1
53;2;282;905;624;24;76;53;2;0.1;1;1;1
54;1;1;23;23;1;2;2;2;0.1;1;1;1
54;2;25;105;81;3;9;7;2;0.1;1;1;1
54;3;107;513;407;9;43;35;2;0.1;1;1;1
54;4;515;548;34;43;46;4;2;0.1;1;1;1
54;5;550;556;7;46;47;2;2;0.1;1;1;1
54;6;558;624;67;47;52;6;2;0.1;1;1;1
54;7;626;670;45;53;56;4;2;0.1;1;1;1
55;1;1;108;108;1;9;9;2;0.1;1;1;1
55;2;110;222;113;10;19;10;2;0.1;1;1;1
55;3;224;363;140;19;31;13;2;0.1;1;1;1
55;4;365;540;176;31;45;15;2;0.1;1;1;1
55;5;542;806;265;46;68;23;2;0.1;1;1;1
56;1;1;484;484;1;41;41;2;0.1;1;1;1
57;1;1;55;55;1;5;5;2;0.1;1;1;1
57;2;57;346;290;5;29;25;2;0.1;1;1;1
57;3;348;348;1;29;29;1;2;0.1;1;1;1
57;4;350;573;224;30;48;19;2;0.1;1;1;1
58;1;1;776;776;1;65;65;2;0.1;1;1;1
59;1;1;319;319;1;27;27;2;0.1;1;1;1
59;2;321;528;208;27;44;18;2;0.1;1;1;1
60;1;1;796;796;1;67;67;2;0.1;1;1;1
60;2;798;829;32;67;70;4;2;0.1;1;1;1
61;1;1;695;695;1;58;58;2;0.1;1;1;1
61;2;697;906;210;59;76;18;2;0.1;1;1;1
61;3;908;928;21;76;78;3;2;0.1;1;1;1
62;1;1;971;971;1;81;81;2;0.1;1;1;1
63;1;1;874;874;1;73;73;2;0.1;1;1;1
63;2;876;925;50;73;78;6;2;0.1;1;1;1
64;1;1;928;928;1;78;78;2;0.1;1;1;1
65;1;1;387;387;1;33;33;2;0.1;1;1;1
65;2;389;523;135;33;44;12;2;0.1;1;1;1
65;3;525;873;349;44;73;30;2;0.1;1;1;1
68;1;1;173;173;1;15;15;2;0.1;1;1;1
68;2;175;186;12;15;16;2;2;0.1;1;1;1
68;3;188;369;182;16;31;16;2;0.1;1;1;1
68;4;371;401;31;31;34;4;2;0.1;1;1;1
68;5;403;467;65;34;39;6;2;0.1;1;1;1
68;6;469;562;94;40;47;8;2;0.1;1;1;1
68;7;564;711;148;47;60;14;2;0.1;1;1;1
69;1;1;56;56;1;5;5;2;0.1;1;1;1
69;2;58;334;277;5;28;24;2;0.1;1;1;1
69;3;336;432;97;28;36;9;2;0.1;1;1;1
69;4;434;472;39;37;40;4;2;0.1;1;1;1
69;5;474;704;231;40;59;20;2;0.1;1;1;1
70;1;1;207;207;1;18;18;2;0.1;1;1;1
70;2;209;388;180;18;33;16;2;0.1;1;1;1
70;3;390;638;249;33;54;22;2;0.1;1;1;1
71;1;1;325;325;1;28;28;2;0.1;1;1;1
71;2;327;800;474;28;67;40;2;0.1;1;1;1
72;1;1;426;426;1;36;36;2;0.1;1;1;1
74;1;1;256;256;1;22;22;2;0.1;1;1;1
74;2;258;658;401;22;55;34;2;0.1;1;1;1
74;3;660;699;40;55;59;5;2;0.1;1;1;1
74;4;701;794;94;59;67;9;2;0.1;1;1;1
75;1;1;841;841;1;71;71;2;0.1;1;1;1
76;1;1;3;3;1;1;1;2;0.1;1;1;1
76;2;5;373;369;1;32;32;2;0.1;1;1;1
76;3;375;658;284;32;55;24;2;0.1;1;1;1
77;1;1;47;47;1;4;4;2;0.1;1;1;1
77;2;49;196;148;5;17;13;2;0.1;1;1;1
77;3;198;591;394;17;50;34;2;0.1;1;1;1
78;1;1;256;256;1;22;22;2;0.1;1;1;1
78;2;258;773;516;22;65;44;2;0.1;1;1;1
78;3;775;999;225;65;84;20;2;0.1;1;1;1
79;1;1;64;64;1;6;6;2;0.1;1;1;1
79;2;66;440;375;6;37;32;2;0.1;1;1;1
79;3;442;603;162;37;51;15;2;0.1;1;1;1
79;4;605;915;311;51;77;27;2;0.1;1;1;1
80;1;1;697;697;1;59;59;2;0.1;1;1;1
81;1;1;34;34;1;3;3;2;0.1;1;1;1
81;2;36;48;13;3;4;2;2;0.1;1;1;1
81;3;50;348;299;5;29;25;2;0.1;1;1;1
81;4;350;355;6;30;30;1;2;0.1;1;1;1
81;5;357;706;350;30;59;30;2;0.1;1;1;1
81;6;708;736;29;59;62;4;2;0.1;1;1;1
81;7;738;909;172;62;76;15;2;0.1;1;1;1
81;8;911;986;76;76;83;8;2;0.1;1;1;1
82;1;1;183;183;1;16;16;2;0.1;1;1;1
82;2;185;328;144;16;28;13;2;0.1;1;1;1
82;3;330;463;134;28;39;12;2;0.1;1;1;1
82;4;465;814;350;39;68;30;2;0.1;1;1;1
82;5;816;974;159;68;82;15;2;0.1;1;1;1
83;1;1;389;389;1;33;33;2;0.1;1;1;1
83;2;391;492;102;33;41;9;2;0.1;1;1;1
83;3;494;718;225;42;60;19;2;0.1;1;1;1
83;4;720;865;146;60;73;14;2;0.1;1;1;1
83;5;867;897;31;73;75;3;2;0.1;1;1;1
84;1;1;48;48;1;4;4;2;0.1;1;1;1
84;2;50;965;916;5;81;77;2;0.1;1;1;1
84;3;967;989;23;81;83;3;2;0.1;1;1;1
85;1;1;489;489;1;41;41;2;0.1;1;1;1
85;2;491;495;5;41;42;2;2;0.1;1;1;1
85;3;497;597;101;42;50;9;2;0.1;1;1;1
85;4;599;658;60;50;55;6;2;0.1;1;1;1
85;5;660;949;290;55;80;26;2;0.1;1;1;1
86;1;1;983;983;1;82;82;2;0.1;1;1;1
87;1;1;110;110;1;10;10;2;0.1;1;1;1
87;2;112;379;268;10;32;23;2;0.1;1;1;1
88;1;1;389;389;1;33;33;2;0.1;1;1;1
88;2;391;731;341;33;61;29;2;0.1;1;1;1
89;1;1;852;852;1;71;71;2;0.1;1;1;1
90;1;1;318;318;1;27;27;2;0.1;1;1;1
90;2;320;346;27;27;29;3;2;0.1;1;1;1
90;3;348;588;241;29;49;21;2;0.1;1;1;1
90;4;590;639;50;50;54;5;2;0.1;1;1;1
90;5;641;661;21;54;56;3;2;0.1;1;1;1
90;6;663;733;71;56;62;7;2;0.1;1;1;1
90;7;735;856;122;62;72;11;2;0.1;1;1;1
90;8;858;956;99;72;80;9;2;0.1;1;1;1
91;1;1;380;380;1;32;32;2;0.1;1;1;1
91;2;382;497;116;32;42;11;2;0.1;1;1;1
91;3;499;935;437;42;78;37;2;0.1;1;1;1
92;1;1;17;17;1;2;2;2;0.1;1;1;1
92;2;19;161;143;2;14;13;2;0.1;1;1;1
92;3;163;476;314;14;40;27;2;0.1;1;1;1
92;4;478;744;267;40;62;23;2;0.1;1;1;1
92;5;746;909;164;63;76;14;2;0.1;1;1;1
92;6;911;992;82;76;83;8;2;0.1;1;1;1
93;1;1;149;149;1;13;13;2;0.1;1;1;1
94;1;1;96;96;1;8;8;2;0.1;1;1;1
94;2;98;134;37;9;12;4;2;0.1;1;1;1
94;3;136;261;126;12;22;11;2;0.1;1;1;1
94;4;263;284;22;22;24;3;2;0.1;1;1;1
94;5;286;288;3;24;24;1;2;0.1;1;1;1
94;6;290;331;42;25;28;4;2;0.1;1;1;1
94;7;333;390;58;28;33;6;2;0.1;1;1;1
94;8;392;574;183;33;48;16;2;0.1;1;1;1
94;9;576;794;219;48;67;20;2;0.1;1;1;1
94;10;796;799;4;67;67;1;2;0.1;1;1;1
94;11;801;951;151;67;80;14;2;0.1;1;1;1
95;1;1;48;48;1;4;4;2;0.1;1;1;1
95;2;50;329;280;5;28;24;2;0.1;1;1;1
95;3;331;363;33;28;31;4;2;0.1;1;1;1
95;4;365;674;310;31;57;27;2;0.1;1;1;1
95;5;676;791;116;57;66;10;2;0.1;1;1;1
95;6;793;888;96;67;74;8;2;0.1;1;1;1
96;1;1;331;331;1;28;28;2;0.1;1;1;1
96;2;333;806;474;28;68;41;2;0.1;1;1;1
96;3;808;911;104;68;76;9;2;0.1;1;1;1
97;1;1;201;201;1;17;17;2;0.1;1;1;1
97;2;203;794;592;17;67;51;2;0.1;1;1;1
97;3;796;811;16;67;68;2;2;0.1;1;1;1
97;4;813;976;164;68;82;15;2;0.1;1;1;1
98;1;1;80;80;1;7;7;2;0.1;1;1;1
98;2;82;427;346;7;36;30;2;0.1;1;1;1
98;3;429;673;245;36;57;22;2;0.1;1;1;1
98;4;675;977;303;57;82;26;2;0.1;1;1;1
99;1;1;158;158;1;14;14;2;0.1;1;1;1
99;2;160;383;224;14;32;19;2;0.1;1;1;1
1;1;1;108;108;1;9;9;2;0.15;1;1;1
1;2;110;227;118;10;19;10;2;0.15;1;1;1
1;3;229;830;602;20;70;51;2;0.15;1;1;1
1;4;832;885;54;70;74;5;2;0.15;1;1;1
2;1;1;117;117;1;10;10;2;0.15;1;1;1
2;2;119;163;45;10;14;5;2;0.15;1;1;1
2;3;165;257;93;14;22;9;2;0.15;1;1;1
2;4;259;296;38;22;25;4;2;0.15;1;1;1
2;5;298;587;290;25;49;25;2;0.15;1;1;1
2;6;589;701;113;50;59;10;2;0.15;1;1;1
2;7;703;722;20;59;61;3;2;0.15;1;1;1
2;8;724;729;6;61;61;1;2;0.15;1;1;1
2;9;731;757;27;61;64;4;2;0.15;1;1;1
